,Date,Condition?,Posted,Enter Time,ETA,BofQ,_ to 4,Section 4,4 to 3,Section 3,3 to 2,Section 2,2 to 1,Section 1,1 to Cave,Cave,Cave to Int.,Interior,Int. to Rey,Rey Room,Total Time,Minutes,% of Actual
1,9/17/2023,rope drop,45,8:05:00 AM,8:50:00 AM,0,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,8:05:00 AM,0:10,8:15:00 AM,0:10,10,22.22%
2,9/17/2023,n/a,60,9:00:00 AM,10:00:00 AM,1,0,n/a,0,n/a,0,n/a,0,9:00:00 AM,0,9:04:00 AM,0:04,9:08:00 AM,0:15,9:23:00 AM,0:23,23,38.33%
3,9/17/2023,LOTS of Lightning Lane,60,9:44:00 AM,10:44:00 AM,1,0,n/a,0,n/a,0,n/a,0,9:44:00 AM,0,9:57:00 AM,0:08,10:05:00 AM,0:37,10:42:00 AM,0:58,58,96.67%
4,9/18/2023,breakdown rope drop,60,11:11:00 AM,12:11:00 PM,0,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0:00,11:11:00 AM,0:05,11:16:00 AM,0:05,5,8.33%
5,9/18/2023,post breakdown,120,11:40:00 AM,1:40:00 PM,4,0:23,12:03:00 PM,0:00,12:03:00 PM,0:23,12:26:00 PM,0:04,12:30:00 PM,0:04,12:34:00 PM,0.06,12:40:00 PM,0:20,1:00:00 PM,1:20,80,66.67%
6,9/18/2023,BREAKDOWN,75,7:20:00 PM,,3,,,,,,7:31:00 PM,,,,,,,,,,,
7,9/18/2023,post breakdown,60,8:19:00 PM,9:19:00 PM,0,0,n/a,0,n/a,0,n/a,,n/a,,8:19:00 PM,0:22,8:41:00 PM,0:19,9:00:00 PM,0:41,41,68.33%
8,9/18/2023,n/a,45,9:21:00 PM,10:06:00 PM,2,0,n/a,0,n/a,0,9:21:00 PM,0:04,9:25:00 PM,0:02,9:27:00 PM,0:05,9:32:00 PM,0:16,9:48:00 PM,0:27,27,60.00%
9,9/24/2023,parade,40,3:12:00 PM,3:52:00 PM,4,0,3:12:00 PM,0:04,3:16:00 PM,0:03,3:19:00 PM,0:04,3:23:00 PM,0:03,3:26:00 PM,0:08,3:34:00 PM,0:16,3:50:00 PM,0:38,38,95.00%
10,9/24/2023,n/a,55,4:16:00 PM,5:11:00 PM,4,0,4:16:00 PM,0:02,4:18:00 PM,0:00,4:18:00 PM,0:03,4:21:00 PM,0:04,4:25:00 PM,0:05,4:30:00 PM,0:27,4:57:00 PM,0:41,41,74.55%
